"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","160271","66392","416942"
"EASTERN CAPE","12-17","Male","132747","48811","429096"
"FREE STATE","12-17","Female","92301","45586","161705"
"FREE STATE","12-17","Male","78770","34423","162847"
"GAUTENG","12-17","Female","213388","96055","649047"
"GAUTENG","12-17","Male","175652","74507","648920"
"KWAZULU-NATAL","12-17","Female","173701","81690","647510"
"KWAZULU-NATAL","12-17","Male","122305","52074","658202"
"LIMPOPO","12-17","Female","156515","56716","352420"
"LIMPOPO","12-17","Male","134207","42170","372427"
"MPUMALANGA","12-17","Female","81277","30681","257710"
"MPUMALANGA","12-17","Male","67079","21456","259479"
"NORTHERN CAPE","12-17","Female","20264","8419","69852"
"NORTHERN CAPE","12-17","Male","16186","6222","69047"
"NORTH WEST","12-17","Female","82633","30314","221385"
"NORTH WEST","12-17","Male","69003","22480","223092"
"WESTERN CAPE","12-17","Female","71412","29409","320269"
"WESTERN CAPE","12-17","Male","61360","24724","322848"
