"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920089"
"eastern cape","Pfizer","1349955"
"free state","Johnson & Johnson","488247"
"free state","Pfizer","679552"
"gauteng","Johnson & Johnson","1554982"
"gauteng","Pfizer","3929807"
"kwazulu-natal","Johnson & Johnson","1250220"
"kwazulu-natal","Pfizer","1996836"
"limpopo","Johnson & Johnson","1083183"
"limpopo","Pfizer","1050885"
"mpumalanga","Johnson & Johnson","833247"
"mpumalanga","Pfizer","579478"
"northern cape","Johnson & Johnson","216470"
"northern cape","Pfizer","228016"
"north west","Johnson & Johnson","715349"
"north west","Pfizer","626489"
"western cape","Johnson & Johnson","753671"
"western cape","Pfizer","2128141"
