"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154919","57747","416942"
"EASTERN CAPE","12-17","Male","127389","41112","429096"
"FREE STATE","12-17","Female","92854","44916","161705"
"FREE STATE","12-17","Male","79068","33767","162847"
"GAUTENG","12-17","Female","216397","96055","649047"
"GAUTENG","12-17","Male","177873","74216","648920"
"KWAZULU-NATAL","12-17","Female","173643","75945","647510"
"KWAZULU-NATAL","12-17","Male","122093","48522","658202"
"LIMPOPO","12-17","Female","153509","53561","352420"
"LIMPOPO","12-17","Male","132012","39727","372427"
"MPUMALANGA","12-17","Female","79912","27734","257710"
"MPUMALANGA","12-17","Male","66412","19648","259479"
"NORTHERN CAPE","12-17","Female","19850","7517","69852"
"NORTHERN CAPE","12-17","Male","15856","5585","69047"
"NORTH WEST","12-17","Female","84000","30442","221385"
"NORTH WEST","12-17","Male","70016","22365","223092"
"WESTERN CAPE","12-17","Female","70541","28671","320269"
"WESTERN CAPE","12-17","Male","60456","24069","322848"
