"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916394"
"eastern cape","Pfizer","1337136"
"free state","Johnson & Johnson","486745"
"free state","Pfizer","673243"
"gauteng","Johnson & Johnson","1542459"
"gauteng","Pfizer","3905749"
"kwazulu-natal","Johnson & Johnson","1241524"
"kwazulu-natal","Pfizer","1979058"
"limpopo","Johnson & Johnson","1078254"
"limpopo","Pfizer","1041448"
"mpumalanga","Johnson & Johnson","826797"
"mpumalanga","Pfizer","572593"
"northern cape","Johnson & Johnson","215676"
"northern cape","Pfizer","226324"
"north west","Johnson & Johnson","713046"
"north west","Pfizer","622009"
"western cape","Johnson & Johnson","749878"
"western cape","Pfizer","2118979"
