"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","912600"
"eastern cape","Pfizer","1327862"
"free state","Johnson & Johnson","484776"
"free state","Pfizer","668526"
"gauteng","Johnson & Johnson","1530997"
"gauteng","Pfizer","3887422"
"kwazulu-natal","Johnson & Johnson","1230694"
"kwazulu-natal","Pfizer","1963061"
"limpopo","Johnson & Johnson","1074807"
"limpopo","Pfizer","1034809"
"mpumalanga","Johnson & Johnson","816868"
"mpumalanga","Pfizer","566062"
"northern cape","Johnson & Johnson","213617"
"northern cape","Pfizer","223578"
"north west","Johnson & Johnson","710567"
"north west","Pfizer","618273"
"western cape","Johnson & Johnson","746676"
"western cape","Pfizer","2111947"
