"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154971","55720","416942"
"EASTERN CAPE","12-17","Male","127260","39306","429096"
"FREE STATE","12-17","Female","93282","44216","161705"
"FREE STATE","12-17","Male","79385","33107","162847"
"GAUTENG","12-17","Female","217839","95347","649047"
"GAUTENG","12-17","Male","178905","73477","648920"
"KWAZULU-NATAL","12-17","Female","173392","72953","647510"
"KWAZULU-NATAL","12-17","Male","121935","46832","658202"
"LIMPOPO","12-17","Female","153154","52279","352420"
"LIMPOPO","12-17","Male","131955","38887","372427"
"MPUMALANGA","12-17","Female","79545","26974","257710"
"MPUMALANGA","12-17","Male","66261","19113","259479"
"NORTHERN CAPE","12-17","Female","19134","6532","69852"
"NORTHERN CAPE","12-17","Male","15273","4842","69047"
"NORTH WEST","12-17","Female","84520","30252","221385"
"NORTH WEST","12-17","Male","70338","22072","223092"
"WESTERN CAPE","12-17","Female","71060","28375","320269"
"WESTERN CAPE","12-17","Male","60745","23795","322848"
