"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919908"
"eastern cape","Pfizer","1349143"
"free state","Johnson & Johnson","488161"
"free state","Pfizer","679197"
"gauteng","Johnson & Johnson","1554293"
"gauteng","Pfizer","3928589"
"kwazulu-natal","Johnson & Johnson","1249887"
"kwazulu-natal","Pfizer","1995854"
"limpopo","Johnson & Johnson","1082923"
"limpopo","Pfizer","1050306"
"mpumalanga","Johnson & Johnson","833016"
"mpumalanga","Pfizer","579088"
"northern cape","Johnson & Johnson","216430"
"northern cape","Pfizer","227915"
"north west","Johnson & Johnson","715246"
"north west","Pfizer","626202"
"western cape","Johnson & Johnson","753459"
"western cape","Pfizer","2127619"
