"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159813","66040","416942"
"EASTERN CAPE","12-17","Male","132244","48364","429096"
"FREE STATE","12-17","Female","92328","45557","161705"
"FREE STATE","12-17","Male","78808","34398","162847"
"GAUTENG","12-17","Female","213633","96103","649047"
"GAUTENG","12-17","Male","175807","74519","648920"
"KWAZULU-NATAL","12-17","Female","173827","81642","647510"
"KWAZULU-NATAL","12-17","Male","122406","52040","658202"
"LIMPOPO","12-17","Female","156445","56628","352420"
"LIMPOPO","12-17","Male","134129","42058","372427"
"MPUMALANGA","12-17","Female","81208","30498","257710"
"MPUMALANGA","12-17","Male","67029","21337","259479"
"NORTHERN CAPE","12-17","Female","20253","8397","69852"
"NORTHERN CAPE","12-17","Male","16188","6219","69047"
"NORTH WEST","12-17","Female","82754","30333","221385"
"NORTH WEST","12-17","Male","69079","22466","223092"
"WESTERN CAPE","12-17","Female","71461","29409","320269"
"WESTERN CAPE","12-17","Male","61408","24713","322848"
