"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154507","55923","416942"
"EASTERN CAPE","12-17","Male","126968","39460","429096"
"FREE STATE","12-17","Female","93053","44416","161705"
"FREE STATE","12-17","Male","79182","33251","162847"
"GAUTENG","12-17","Female","217326","95881","649047"
"GAUTENG","12-17","Male","178532","73950","648920"
"KWAZULU-NATAL","12-17","Female","173355","73703","647510"
"KWAZULU-NATAL","12-17","Male","121859","47201","658202"
"LIMPOPO","12-17","Female","152892","52610","352420"
"LIMPOPO","12-17","Male","131758","39135","372427"
"MPUMALANGA","12-17","Female","79469","27112","257710"
"MPUMALANGA","12-17","Male","66208","19231","259479"
"NORTHERN CAPE","12-17","Female","19235","6735","69852"
"NORTHERN CAPE","12-17","Male","15339","4966","69047"
"NORTH WEST","12-17","Female","84293","30326","221385"
"NORTH WEST","12-17","Male","70194","22186","223092"
"WESTERN CAPE","12-17","Female","70734","28531","320269"
"WESTERN CAPE","12-17","Male","60591","23928","322848"
