"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923921"
"eastern cape","Pfizer","1366889"
"free state","Johnson & Johnson","489387"
"free state","Pfizer","686370"
"gauteng","Johnson & Johnson","1571330"
"gauteng","Pfizer","3954483"
"kwazulu-natal","Johnson & Johnson","1258684"
"kwazulu-natal","Pfizer","2014273"
"limpopo","Johnson & Johnson","1090852"
"limpopo","Pfizer","1063986"
"mpumalanga","Johnson & Johnson","839536"
"mpumalanga","Pfizer","587439"
"northern cape","Johnson & Johnson","218145"
"northern cape","Pfizer","230330"
"north west","Johnson & Johnson","719002"
"north west","Pfizer","632632"
"western cape","Johnson & Johnson","758305"
"western cape","Pfizer","2138060"
