"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","145651","44409","416942"
"EASTERN CAPE","12-17","Male","118132","30389","429096"
"FREE STATE","12-17","Female","90348","39655","161705"
"FREE STATE","12-17","Male","76522","29226","162847"
"GAUTENG","12-17","Female","209512","87052","649047"
"GAUTENG","12-17","Male","171646","66922","648920"
"KWAZULU-NATAL","12-17","Female","154231","58373","647510"
"KWAZULU-NATAL","12-17","Male","108180","37088","658202"
"LIMPOPO","12-17","Female","136409","42701","352420"
"LIMPOPO","12-17","Male","114382","31460","372427"
"MPUMALANGA","12-17","Female","74191","21462","257710"
"MPUMALANGA","12-17","Male","61958","15603","259479"
"NORTHERN CAPE","12-17","Female","16466","5028","69852"
"NORTHERN CAPE","12-17","Male","13229","3736","69047"
"NORTH WEST","12-17","Female","81708","26768","221385"
"NORTH WEST","12-17","Male","67606","19355","223092"
"WESTERN CAPE","12-17","Female","70573","27159","320269"
"WESTERN CAPE","12-17","Male","60045","22571","322848"
