"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","899762"
"eastern cape","Pfizer","1311824"
"free state","Johnson & Johnson","478767"
"free state","Pfizer","659682"
"gauteng","Johnson & Johnson","1501007"
"gauteng","Pfizer","3845436"
"kwazulu-natal","Johnson & Johnson","1207368"
"kwazulu-natal","Pfizer","1927768"
"limpopo","Johnson & Johnson","1060731"
"limpopo","Pfizer","1020995"
"mpumalanga","Johnson & Johnson","796878"
"mpumalanga","Pfizer","556032"
"northern cape","Johnson & Johnson","210760"
"northern cape","Pfizer","219815"
"north west","Johnson & Johnson","702604"
"north west","Pfizer","609998"
"western cape","Johnson & Johnson","737569"
"western cape","Pfizer","2097151"
