"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922673"
"eastern cape","Pfizer","1361851"
"free state","Johnson & Johnson","489119"
"free state","Pfizer","684561"
"gauteng","Johnson & Johnson","1566365"
"gauteng","Pfizer","3947576"
"kwazulu-natal","Johnson & Johnson","1256268"
"kwazulu-natal","Pfizer","2009733"
"limpopo","Johnson & Johnson","1088880"
"limpopo","Pfizer","1060105"
"mpumalanga","Johnson & Johnson","837955"
"mpumalanga","Pfizer","585268"
"northern cape","Johnson & Johnson","217625"
"northern cape","Pfizer","229673"
"north west","Johnson & Johnson","717808"
"north west","Pfizer","630743"
"western cape","Johnson & Johnson","756848"
"western cape","Pfizer","2135125"
