"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916300"
"eastern cape","Pfizer","1336849"
"free state","Johnson & Johnson","486682"
"free state","Pfizer","673074"
"gauteng","Johnson & Johnson","1542023"
"gauteng","Pfizer","3905072"
"kwazulu-natal","Johnson & Johnson","1241012"
"kwazulu-natal","Pfizer","1978536"
"limpopo","Johnson & Johnson","1078049"
"limpopo","Pfizer","1041136"
"mpumalanga","Johnson & Johnson","826334"
"mpumalanga","Pfizer","572232"
"northern cape","Johnson & Johnson","215582"
"northern cape","Pfizer","226238"
"north west","Johnson & Johnson","712939"
"north west","Pfizer","621863"
"western cape","Johnson & Johnson","749764"
"western cape","Pfizer","2118731"
