"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915180"
"eastern cape","Pfizer","1334317"
"free state","Johnson & Johnson","486234"
"free state","Pfizer","671713"
"gauteng","Johnson & Johnson","1539192"
"gauteng","Pfizer","3900635"
"kwazulu-natal","Johnson & Johnson","1237571"
"kwazulu-natal","Pfizer","1974215"
"limpopo","Johnson & Johnson","1076927"
"limpopo","Pfizer","1039206"
"mpumalanga","Johnson & Johnson","823461"
"mpumalanga","Pfizer","570257"
"northern cape","Johnson & Johnson","215042"
"northern cape","Pfizer","225518"
"north west","Johnson & Johnson","712308"
"north west","Pfizer","620927"
"western cape","Johnson & Johnson","748914"
"western cape","Pfizer","2116676"
