"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","912908"
"eastern cape","Pfizer","1328292"
"free state","Johnson & Johnson","484918"
"free state","Pfizer","668756"
"gauteng","Johnson & Johnson","1531696"
"gauteng","Pfizer","3888529"
"kwazulu-natal","Johnson & Johnson","1231223"
"kwazulu-natal","Pfizer","1963911"
"limpopo","Johnson & Johnson","1075001"
"limpopo","Pfizer","1035097"
"mpumalanga","Johnson & Johnson","817343"
"mpumalanga","Pfizer","566356"
"northern cape","Johnson & Johnson","213695"
"northern cape","Pfizer","223727"
"north west","Johnson & Johnson","710726"
"north west","Pfizer","618500"
"western cape","Johnson & Johnson","746866"
"western cape","Pfizer","2112220"
