"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","854547","0","139850","994397"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","461908","0","87075","548983"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1402241","0","195186","1597427"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1143654","0","169172","1312826"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1042931","0","139104","1182035"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","802071","0","116100","918171"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","205678","0","32106","237784"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","688960","0","107495","796455"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","654475","0","106471","760946"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60864","0","24220","85084"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24394","0","12199","36593"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137421","0","65383","202804"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94492","0","40022","134514"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34183","0","17016","51199"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21913","0","7151","29064"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23472","0","8964","32436"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94613","0","61527","156140"
"Pfizer","National","eastern cape","Adults","1334701","1122420","228214","2685335"
"Pfizer","National","eastern cape","12-17 Years","281073","95756","0","376829"
"Pfizer","National","free state","12-17 Years","171925","77785","0","249710"
"Pfizer","National","free state","Adults","671902","590235","132892","1395029"
"Pfizer","National","gauteng","12-17 Years","395221","170297","12","565530"
"Pfizer","National","gauteng","Adults","3901412","3380024","656226","7937662"
"Pfizer","National","kwazulu-natal","Adults","1974940","1642255","320385","3937580"
"Pfizer","National","kwazulu-natal","12-17 Years","295271","121612","8","416891"
"Pfizer","National","limpopo","Adults","1039503","874743","168145","2082391"
"Pfizer","National","limpopo","12-17 Years","284242","92079","0","376321"
"Pfizer","National","mpumalanga","12-17 Years","145696","46581","0","192277"
"Pfizer","National","mpumalanga","Adults","570630","470732","101676","1143038"
"Pfizer","National","northern cape","12-17 Years","34680","11870","0","46550"
"Pfizer","National","northern cape","Adults","225671","193100","34882","453653"
"Pfizer","National","north west","12-17 Years","154170","52537","4","206711"
"Pfizer","National","north west","Adults","621068","538134","108600","1267802"
"Pfizer","National","western cape","12-17 Years","131060","52624","2","183686"
"Pfizer","National","western cape","Adults","2117054","1859523","476471","4453048"
