"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154289","56097","416942"
"EASTERN CAPE","12-17","Male","126784","39659","429096"
"FREE STATE","12-17","Female","92852","44468","161705"
"FREE STATE","12-17","Male","79073","33317","162847"
"GAUTENG","12-17","Female","216938","96107","649047"
"GAUTENG","12-17","Male","178283","74190","648920"
"KWAZULU-NATAL","12-17","Female","173387","74166","647510"
"KWAZULU-NATAL","12-17","Male","121884","47446","658202"
"LIMPOPO","12-17","Female","152665","52795","352420"
"LIMPOPO","12-17","Male","131577","39284","372427"
"MPUMALANGA","12-17","Female","79485","27237","257710"
"MPUMALANGA","12-17","Male","66211","19344","259479"
"NORTHERN CAPE","12-17","Female","19291","6824","69852"
"NORTHERN CAPE","12-17","Male","15389","5046","69047"
"NORTH WEST","12-17","Female","84103","30321","221385"
"NORTH WEST","12-17","Male","70067","22216","223092"
"WESTERN CAPE","12-17","Female","70575","28614","320269"
"WESTERN CAPE","12-17","Male","60485","24010","322848"
