"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","887868"
"eastern cape","Pfizer","1299716"
"free state","Johnson & Johnson","473121"
"free state","Pfizer","652389"
"gauteng","Johnson & Johnson","1475034"
"gauteng","Pfizer","3808742"
"kwazulu-natal","Johnson & Johnson","1187799"
"kwazulu-natal","Pfizer","1901162"
"limpopo","Johnson & Johnson","1048241"
"limpopo","Pfizer","1011070"
"mpumalanga","Johnson & Johnson","782308"
"mpumalanga","Pfizer","548761"
"northern cape","Johnson & Johnson","208524"
"northern cape","Pfizer","217229"
"north west","Johnson & Johnson","694285"
"north west","Pfizer","603675"
"western cape","Johnson & Johnson","730131"
"western cape","Pfizer","2084691"
