"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","129855","31967","416942"
"EASTERN CAPE","12-17","Male","104336","21542","429096"
"FREE STATE","12-17","Female","85436","33752","161705"
"FREE STATE","12-17","Male","72086","24557","162847"
"GAUTENG","12-17","Female","200213","74956","649047"
"GAUTENG","12-17","Male","164279","58192","648920"
"KWAZULU-NATAL","12-17","Female","137144","42449","647510"
"KWAZULU-NATAL","12-17","Male","96993","28125","658202"
"LIMPOPO","12-17","Female","123823","35137","352420"
"LIMPOPO","12-17","Male","103381","26427","372427"
"MPUMALANGA","12-17","Female","67592","17177","257710"
"MPUMALANGA","12-17","Male","56970","12669","259479"
"NORTHERN CAPE","12-17","Female","13470","4294","69852"
"NORTHERN CAPE","12-17","Male","11030","3198","69047"
"NORTH WEST","12-17","Female","77301","22256","221385"
"NORTH WEST","12-17","Male","64324","16253","223092"
"WESTERN CAPE","12-17","Female","70288","26150","320269"
"WESTERN CAPE","12-17","Male","59627","21638","322848"
