"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","161053","67310","416942"
"EASTERN CAPE","12-17","Male","133588","49652","429096"
"FREE STATE","12-17","Female","92101","45601","161705"
"FREE STATE","12-17","Male","78666","34476","162847"
"GAUTENG","12-17","Female","212698","95822","649047"
"GAUTENG","12-17","Male","175168","74401","648920"
"KWAZULU-NATAL","12-17","Female","173119","81696","647510"
"KWAZULU-NATAL","12-17","Male","121972","52178","658202"
"LIMPOPO","12-17","Female","156550","57142","352420"
"LIMPOPO","12-17","Male","134161","42520","372427"
"MPUMALANGA","12-17","Female","81380","31287","257710"
"MPUMALANGA","12-17","Male","67165","21851","259479"
"NORTHERN CAPE","12-17","Female","20356","8590","69852"
"NORTHERN CAPE","12-17","Male","16263","6357","69047"
"NORTH WEST","12-17","Female","82341","30231","221385"
"NORTH WEST","12-17","Male","68801","22454","223092"
"WESTERN CAPE","12-17","Female","71242","29476","320269"
"WESTERN CAPE","12-17","Male","61232","24793","322848"
