"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920579"
"eastern cape","Pfizer","1352412"
"free state","Johnson & Johnson","488475"
"free state","Pfizer","680823"
"gauteng","Johnson & Johnson","1557196"
"gauteng","Pfizer","3933736"
"kwazulu-natal","Johnson & Johnson","1251575"
"kwazulu-natal","Pfizer","1999853"
"limpopo","Johnson & Johnson","1084005"
"limpopo","Pfizer","1052778"
"mpumalanga","Johnson & Johnson","834160"
"mpumalanga","Pfizer","580630"
"northern cape","Johnson & Johnson","216645"
"northern cape","Pfizer","228367"
"north west","Johnson & Johnson","715764"
"north west","Pfizer","627353"
"western cape","Johnson & Johnson","754417"
"western cape","Pfizer","2129730"
