"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","911162"
"eastern cape","Pfizer","1325524"
"free state","Johnson & Johnson","484189"
"free state","Pfizer","667421"
"gauteng","Johnson & Johnson","1527891"
"gauteng","Pfizer","3882519"
"kwazulu-natal","Johnson & Johnson","1228118"
"kwazulu-natal","Pfizer","1958959"
"limpopo","Johnson & Johnson","1073838"
"limpopo","Pfizer","1033206"
"mpumalanga","Johnson & Johnson","814537"
"mpumalanga","Pfizer","564906"
"northern cape","Johnson & Johnson","213281"
"northern cape","Pfizer","222959"
"north west","Johnson & Johnson","709873"
"north west","Pfizer","617243"
"western cape","Johnson & Johnson","745770"
"western cape","Pfizer","2110349"
