"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","155062","55423","416942"
"EASTERN CAPE","12-17","Male","127108","39060","429096"
"FREE STATE","12-17","Female","93324","43934","161705"
"FREE STATE","12-17","Male","79355","32866","162847"
"GAUTENG","12-17","Female","217703","94832","649047"
"GAUTENG","12-17","Male","178732","73044","648920"
"KWAZULU-NATAL","12-17","Female","172853","72256","647510"
"KWAZULU-NATAL","12-17","Male","121466","46380","658202"
"LIMPOPO","12-17","Female","152846","51762","352420"
"LIMPOPO","12-17","Male","131679","38518","372427"
"MPUMALANGA","12-17","Female","79448","26729","257710"
"MPUMALANGA","12-17","Male","66238","18976","259479"
"NORTHERN CAPE","12-17","Female","19094","6436","69852"
"NORTHERN CAPE","12-17","Male","15244","4787","69047"
"NORTH WEST","12-17","Female","84592","30125","221385"
"NORTH WEST","12-17","Male","70392","21914","223092"
"WESTERN CAPE","12-17","Female","71045","28260","320269"
"WESTERN CAPE","12-17","Male","60731","23692","322848"
