"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914540"
"eastern cape","Pfizer","1332398"
"free state","Johnson & Johnson","485852"
"free state","Pfizer","670822"
"gauteng","Johnson & Johnson","1537362"
"gauteng","Pfizer","3897321"
"kwazulu-natal","Johnson & Johnson","1235514"
"kwazulu-natal","Pfizer","1971291"
"limpopo","Johnson & Johnson","1076451"
"limpopo","Pfizer","1038030"
"mpumalanga","Johnson & Johnson","821472"
"mpumalanga","Pfizer","568944"
"northern cape","Johnson & Johnson","214616"
"northern cape","Pfizer","224995"
"north west","Johnson & Johnson","711911"
"north west","Pfizer","620234"
"western cape","Johnson & Johnson","748289"
"western cape","Pfizer","2115356"
