"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154505","55954","416942"
"EASTERN CAPE","12-17","Male","126949","39495","429096"
"FREE STATE","12-17","Female","93026","44434","161705"
"FREE STATE","12-17","Male","79164","33259","162847"
"GAUTENG","12-17","Female","217299","95920","649047"
"GAUTENG","12-17","Male","178514","73991","648920"
"KWAZULU-NATAL","12-17","Female","173388","73809","647510"
"KWAZULU-NATAL","12-17","Male","121868","47251","658202"
"LIMPOPO","12-17","Female","152878","52653","352420"
"LIMPOPO","12-17","Male","131749","39159","372427"
"MPUMALANGA","12-17","Female","79497","27129","257710"
"MPUMALANGA","12-17","Male","66226","19247","259479"
"NORTHERN CAPE","12-17","Female","19249","6749","69852"
"NORTHERN CAPE","12-17","Male","15338","4975","69047"
"NORTH WEST","12-17","Female","84283","30334","221385"
"NORTH WEST","12-17","Male","70190","22197","223092"
"WESTERN CAPE","12-17","Female","70709","28538","320269"
"WESTERN CAPE","12-17","Male","60587","23945","322848"
