"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926729"
"eastern cape","Pfizer","1375479"
"free state","Johnson & Johnson","489846"
"free state","Pfizer","689010"
"gauteng","Johnson & Johnson","1579581"
"gauteng","Pfizer","3965801"
"kwazulu-natal","Johnson & Johnson","1261820"
"kwazulu-natal","Pfizer","2020307"
"limpopo","Johnson & Johnson","1093042"
"limpopo","Pfizer","1069343"
"mpumalanga","Johnson & Johnson","841681"
"mpumalanga","Pfizer","590069"
"northern cape","Johnson & Johnson","218578"
"northern cape","Pfizer","231316"
"north west","Johnson & Johnson","720602"
"north west","Pfizer","635759"
"western cape","Johnson & Johnson","760445"
"western cape","Pfizer","2142111"
