"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14582","5609","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12500","4591","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19150","10637","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15288","7597","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8398","3058","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7397","2393","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11057","6400","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9337","4793","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13485","5328","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11137","3902","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17563","6657","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","14868","4780","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26028","15733","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23092","12655","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4191","1182","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3435","808","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","50872","21633","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","41776","16664","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15109","6791","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12093","5157","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19367","10211","41623"
"GAUTENG","WEST RAND DM","12-17","Male","15903","7756","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6645","2866","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4350","1798","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","25850","12324","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22427","10459","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13160","7841","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10379","5714","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8724","4399","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5322","2458","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12473","5109","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8227","3131","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13036","5614","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8583","3154","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14003","5784","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10167","3831","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20171","10222","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12792","5386","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14672","6290","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9061","3439","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15221","6875","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10327","4058","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","23739","12640","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17113","8036","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37459","15644","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","32059","11872","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37107","13047","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30604","9477","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26245","10012","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25736","8438","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","37814","12634","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30637","8714","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17673","6989","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14834","5192","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47760","20111","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36776","13328","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","16841","6535","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17363","5466","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7553","3711","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6277","2807","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1687","657","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1363","499","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3550","1582","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2726","1131","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32016","13567","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26619","10063","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21127","7429","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17663","5445","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9218","4165","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8134","3470","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","800","373","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","627","283","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6219","2547","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5281","1962","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","2986","997","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2348","775","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4130","1892","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3591","1435","22568"
