"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926600"
"eastern cape","Pfizer","1374754"
"free state","Johnson & Johnson","489805"
"free state","Pfizer","688797"
"gauteng","Johnson & Johnson","1578942"
"gauteng","Pfizer","3964895"
"kwazulu-natal","Johnson & Johnson","1261592"
"kwazulu-natal","Pfizer","2019857"
"limpopo","Johnson & Johnson","1092853"
"limpopo","Pfizer","1068829"
"mpumalanga","Johnson & Johnson","841492"
"mpumalanga","Pfizer","589858"
"northern cape","Johnson & Johnson","218532"
"northern cape","Pfizer","231245"
"north west","Johnson & Johnson","720468"
"north west","Pfizer","635542"
"western cape","Johnson & Johnson","760273"
"western cape","Pfizer","2141769"
