"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918964"
"eastern cape","Pfizer","1344817"
"free state","Johnson & Johnson","487724"
"free state","Pfizer","677232"
"gauteng","Johnson & Johnson","1550562"
"gauteng","Pfizer","3920889"
"kwazulu-natal","Johnson & Johnson","1247959"
"kwazulu-natal","Pfizer","1991009"
"limpopo","Johnson & Johnson","1081457"
"limpopo","Pfizer","1047092"
"mpumalanga","Johnson & Johnson","831399"
"mpumalanga","Pfizer","576941"
"northern cape","Johnson & Johnson","216296"
"northern cape","Pfizer","227446"
"north west","Johnson & Johnson","714505"
"north west","Pfizer","624759"
"western cape","Johnson & Johnson","752284"
"western cape","Pfizer","2124819"
