"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158477","63247","416942"
"EASTERN CAPE","12-17","Male","130998","46001","429096"
"FREE STATE","12-17","Female","92681","45422","161705"
"FREE STATE","12-17","Male","79010","34266","162847"
"GAUTENG","12-17","Female","214630","96116","649047"
"GAUTENG","12-17","Male","176570","74434","648920"
"KWAZULU-NATAL","12-17","Female","174590","80916","647510"
"KWAZULU-NATAL","12-17","Male","122815","51388","658202"
"LIMPOPO","12-17","Female","156280","55636","352420"
"LIMPOPO","12-17","Male","133856","41257","372427"
"MPUMALANGA","12-17","Female","81090","29468","257710"
"MPUMALANGA","12-17","Male","67020","20708","259479"
"NORTHERN CAPE","12-17","Female","20262","8238","69852"
"NORTHERN CAPE","12-17","Male","16185","6067","69047"
"NORTH WEST","12-17","Female","83290","30391","221385"
"NORTH WEST","12-17","Male","69447","22407","223092"
"WESTERN CAPE","12-17","Female","71333","29103","320269"
"WESTERN CAPE","12-17","Male","61269","24452","322848"
