"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","905533"
"eastern cape","Pfizer","1317707"
"free state","Johnson & Johnson","481432"
"free state","Pfizer","663530"
"gauteng","Johnson & Johnson","1514207"
"gauteng","Pfizer","3863597"
"kwazulu-natal","Johnson & Johnson","1217413"
"kwazulu-natal","Pfizer","1942601"
"limpopo","Johnson & Johnson","1067630"
"limpopo","Pfizer","1026688"
"mpumalanga","Johnson & Johnson","804967"
"mpumalanga","Pfizer","560007"
"northern cape","Johnson & Johnson","211961"
"northern cape","Pfizer","221236"
"north west","Johnson & Johnson","706365"
"north west","Pfizer","613303"
"western cape","Johnson & Johnson","741623"
"western cape","Pfizer","2103687"
