"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926399"
"eastern cape","Pfizer","1373444"
"free state","Johnson & Johnson","489731"
"free state","Pfizer","688396"
"gauteng","Johnson & Johnson","1577857"
"gauteng","Pfizer","3963248"
"kwazulu-natal","Johnson & Johnson","1261244"
"kwazulu-natal","Pfizer","2018999"
"limpopo","Johnson & Johnson","1092548"
"limpopo","Pfizer","1067905"
"mpumalanga","Johnson & Johnson","841162"
"mpumalanga","Pfizer","589419"
"northern cape","Johnson & Johnson","218488"
"northern cape","Pfizer","231104"
"north west","Johnson & Johnson","720287"
"north west","Pfizer","635077"
"western cape","Johnson & Johnson","759974"
"western cape","Pfizer","2141108"
