"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","392559","839479"
"EASTERN CAPE","18-34","Male","295666","854468"
"EASTERN CAPE","35-49","Female","369498","586430"
"EASTERN CAPE","35-49","Male","251148","522727"
"EASTERN CAPE","50-59","Female","236414","320585"
"EASTERN CAPE","50-59","Male","148931","196960"
"EASTERN CAPE","60+","Female","364650","517296"
"EASTERN CAPE","60+","Male","218949","261598"
"EASTERN CAPE","Unidentified","Female","303",""
"EASTERN CAPE","Unidentified","Male","76",""
"FREE STATE","18-34","Female","230970","410210"
"FREE STATE","18-34","Male","175741","419145"
"FREE STATE","35-49","Female","193967","283918"
"FREE STATE","35-49","Male","159924","266941"
"FREE STATE","50-59","Female","105223","140470"
"FREE STATE","50-59","Male","81883","105617"
"FREE STATE","60+","Female","137164","178195"
"FREE STATE","60+","Male","86379","110025"
"FREE STATE","Unidentified","Female","86",""
"FREE STATE","Unidentified","Male","48",""
"GAUTENG","18-34","Female","986640","2584852"
"GAUTENG","18-34","Male","842609","2611302"
"GAUTENG","35-49","Female","999115","1659380"
"GAUTENG","35-49","Male","934293","1782603"
"GAUTENG","50-59","Female","442170","675158"
"GAUTENG","50-59","Male","422682","655342"
"GAUTENG","60+","Female","494261","745260"
"GAUTENG","60+","Male","378529","597429"
"GAUTENG","Unidentified","Female","292",""
"GAUTENG","Unidentified","Male","170",""
"KWAZULU-NATAL","18-34","Female","635598","1707989"
"KWAZULU-NATAL","18-34","Male","436438","1725158"
"KWAZULU-NATAL","35-49","Female","573319","1071255"
"KWAZULU-NATAL","35-49","Male","412331","951364"
"KWAZULU-NATAL","50-59","Female","300903","492136"
"KWAZULU-NATAL","50-59","Male","202505","316845"
"KWAZULU-NATAL","60+","Female","444169","624115"
"KWAZULU-NATAL","60+","Male","252338","330933"
"KWAZULU-NATAL","Unidentified","Female","363",""
"KWAZULU-NATAL","Unidentified","Male","139",""
"LIMPOPO","18-34","Female","428169","818804"
"LIMPOPO","18-34","Male","291038","833104"
"LIMPOPO","35-49","Female","375543","573264"
"LIMPOPO","35-49","Male","248358","493423"
"LIMPOPO","50-59","Female","199373","265501"
"LIMPOPO","50-59","Male","133613","165831"
"LIMPOPO","60+","Female","294637","372555"
"LIMPOPO","60+","Male","170141","173319"
"LIMPOPO","Unidentified","Female","608",""
"LIMPOPO","Unidentified","Male","86",""
"MPUMALANGA","18-34","Female","273787","681710"
"MPUMALANGA","18-34","Male","233254","729028"
"MPUMALANGA","35-49","Female","239809","451254"
"MPUMALANGA","35-49","Male","211803","457785"
"MPUMALANGA","50-59","Female","117606","197794"
"MPUMALANGA","50-59","Male","95396","151183"
"MPUMALANGA","60+","Female","143221","224305"
"MPUMALANGA","60+","Male","103405","146461"
"MPUMALANGA","Unidentified","Female","157",""
"MPUMALANGA","Unidentified","Male","53",""
"NORTHERN CAPE","18-34","Female","78074","174695"
"NORTHERN CAPE","18-34","Male","73744","182300"
"NORTHERN CAPE","35-49","Female","69297","118328"
"NORTHERN CAPE","35-49","Male","73172","131923"
"NORTHERN CAPE","50-59","Female","37233","57823"
"NORTHERN CAPE","50-59","Male","34649","49198"
"NORTHERN CAPE","60+","Female","45716","80820"
"NORTHERN CAPE","60+","Male","34044","52458"
"NORTHERN CAPE","Unidentified","Female","15",""
"NORTHERN CAPE","Unidentified","Male","8",""
"NORTH WEST","18-34","Female","242714","547199"
"NORTH WEST","18-34","Male","200465","611287"
"NORTH WEST","35-49","Female","215957","386831"
"NORTH WEST","35-49","Male","215968","437698"
"NORTH WEST","50-59","Female","109443","173790"
"NORTH WEST","50-59","Male","108801","168889"
"NORTH WEST","60+","Female","143435","213393"
"NORTH WEST","60+","Male","108354","154160"
"NORTH WEST","Unidentified","Female","124",""
"NORTH WEST","Unidentified","Male","111",""
"WESTERN CAPE","18-34","Female","522251","1010156"
"WESTERN CAPE","18-34","Male","454043","1047625"
"WESTERN CAPE","35-49","Female","476930","744325"
"WESTERN CAPE","35-49","Male","419798","767488"
"WESTERN CAPE","50-59","Female","244613","368383"
"WESTERN CAPE","50-59","Male","211972","315766"
"WESTERN CAPE","60+","Female","319924","422288"
"WESTERN CAPE","60+","Male","237871","300872"
"WESTERN CAPE","Unidentified","Female","116",""
"WESTERN CAPE","Unidentified","Male","69",""
