"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926937"
"eastern cape","Pfizer","1376820"
"free state","Johnson & Johnson","489907"
"free state","Pfizer","689664"
"gauteng","Johnson & Johnson","1580676"
"gauteng","Pfizer","3968472"
"kwazulu-natal","Johnson & Johnson","1262380"
"kwazulu-natal","Pfizer","2021659"
"limpopo","Johnson & Johnson","1093269"
"limpopo","Pfizer","1070460"
"mpumalanga","Johnson & Johnson","842051"
"mpumalanga","Pfizer","590687"
"northern cape","Johnson & Johnson","218646"
"northern cape","Pfizer","231490"
"north west","Johnson & Johnson","720899"
"north west","Pfizer","636522"
"western cape","Johnson & Johnson","760846"
"western cape","Pfizer","2143152"
