"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","137718","38040","416942"
"EASTERN CAPE","12-17","Male","111216","25722","429096"
"FREE STATE","12-17","Female","87948","36842","161705"
"FREE STATE","12-17","Male","74491","27060","162847"
"GAUTENG","12-17","Female","204106","81027","649047"
"GAUTENG","12-17","Male","167590","62549","648920"
"KWAZULU-NATAL","12-17","Female","144657","50237","647510"
"KWAZULU-NATAL","12-17","Male","101969","32576","658202"
"LIMPOPO","12-17","Female","129466","38617","352420"
"LIMPOPO","12-17","Male","108252","28740","372427"
"MPUMALANGA","12-17","Female","70575","19261","257710"
"MPUMALANGA","12-17","Male","59336","14145","259479"
"NORTHERN CAPE","12-17","Female","14619","4499","69852"
"NORTHERN CAPE","12-17","Male","11923","3373","69047"
"NORTH WEST","12-17","Female","79521","24686","221385"
"NORTH WEST","12-17","Male","65972","17914","223092"
"WESTERN CAPE","12-17","Female","70417","26618","320269"
"WESTERN CAPE","12-17","Male","59897","22128","322848"
