"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","893812"
"eastern cape","Pfizer","1305645"
"free state","Johnson & Johnson","476067"
"free state","Pfizer","656253"
"gauteng","Johnson & Johnson","1488583"
"gauteng","Pfizer","3827779"
"kwazulu-natal","Johnson & Johnson","1196939"
"kwazulu-natal","Pfizer","1913250"
"limpopo","Johnson & Johnson","1054972"
"limpopo","Pfizer","1016308"
"mpumalanga","Johnson & Johnson","789842"
"mpumalanga","Pfizer","552408"
"northern cape","Johnson & Johnson","209641"
"northern cape","Pfizer","218577"
"north west","Johnson & Johnson","698842"
"north west","Pfizer","606942"
"western cape","Johnson & Johnson","733944"
"western cape","Pfizer","2090943"
