"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","925639"
"eastern cape","Pfizer","1371146"
"free state","Johnson & Johnson","489620"
"free state","Pfizer","687737"
"gauteng","Johnson & Johnson","1575912"
"gauteng","Pfizer","3960484"
"kwazulu-natal","Johnson & Johnson","1260516"
"kwazulu-natal","Pfizer","2017461"
"limpopo","Johnson & Johnson","1091967"
"limpopo","Pfizer","1066602"
"mpumalanga","Johnson & Johnson","840621"
"mpumalanga","Pfizer","588769"
"northern cape","Johnson & Johnson","218389"
"northern cape","Pfizer","230892"
"north west","Johnson & Johnson","719969"
"north west","Pfizer","634331"
"western cape","Johnson & Johnson","759446"
"western cape","Pfizer","2140072"
