"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913430"
"eastern cape","Pfizer","1329548"
"free state","Johnson & Johnson","485262"
"free state","Pfizer","669434"
"gauteng","Johnson & Johnson","1533719"
"gauteng","Pfizer","3891775"
"kwazulu-natal","Johnson & Johnson","1232525"
"kwazulu-natal","Pfizer","1966397"
"limpopo","Johnson & Johnson","1075474"
"limpopo","Pfizer","1036157"
"mpumalanga","Johnson & Johnson","818771"
"mpumalanga","Pfizer","567242"
"northern cape","Johnson & Johnson","214068"
"northern cape","Pfizer","224201"
"north west","Johnson & Johnson","711147"
"north west","Pfizer","619103"
"western cape","Johnson & Johnson","747337"
"western cape","Pfizer","2113288"
