"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","124392","27117","416942"
"EASTERN CAPE","12-17","Male","100092","18306","429096"
"FREE STATE","12-17","Female","83835","31341","161705"
"FREE STATE","12-17","Male","70616","22716","162847"
"GAUTENG","12-17","Female","197429","70343","649047"
"GAUTENG","12-17","Male","161885","54687","648920"
"KWAZULU-NATAL","12-17","Female","133174","36888","647510"
"KWAZULU-NATAL","12-17","Male","94067","25070","658202"
"LIMPOPO","12-17","Female","120745","32642","352420"
"LIMPOPO","12-17","Male","100837","24559","372427"
"MPUMALANGA","12-17","Female","64185","15640","257710"
"MPUMALANGA","12-17","Male","53672","11526","259479"
"NORTHERN CAPE","12-17","Female","13121","4159","69852"
"NORTHERN CAPE","12-17","Male","10736","3127","69047"
"NORTH WEST","12-17","Female","75619","20210","221385"
"NORTH WEST","12-17","Male","63222","14774","223092"
"WESTERN CAPE","12-17","Female","70208","25743","320269"
"WESTERN CAPE","12-17","Male","59447","21274","322848"
