"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","883805"
"eastern cape","Pfizer","1295752"
"free state","Johnson & Johnson","470764"
"free state","Pfizer","649626"
"gauteng","Johnson & Johnson","1465697"
"gauteng","Pfizer","3795453"
"kwazulu-natal","Johnson & Johnson","1181861"
"kwazulu-natal","Pfizer","1893269"
"limpopo","Johnson & Johnson","1044329"
"limpopo","Pfizer","1007749"
"mpumalanga","Johnson & Johnson","776442"
"mpumalanga","Pfizer","545911"
"northern cape","Johnson & Johnson","207764"
"northern cape","Pfizer","216397"
"north west","Johnson & Johnson","690888"
"north west","Pfizer","601080"
"western cape","Johnson & Johnson","727008"
"western cape","Pfizer","2079889"
