"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924901"
"eastern cape","Pfizer","1369211"
"free state","Johnson & Johnson","489515"
"free state","Pfizer","687091"
"gauteng","Johnson & Johnson","1573998"
"gauteng","Pfizer","3957913"
"kwazulu-natal","Johnson & Johnson","1259769"
"kwazulu-natal","Pfizer","2016113"
"limpopo","Johnson & Johnson","1091600"
"limpopo","Pfizer","1065646"
"mpumalanga","Johnson & Johnson","840271"
"mpumalanga","Pfizer","588245"
"northern cape","Johnson & Johnson","218293"
"northern cape","Pfizer","230675"
"north west","Johnson & Johnson","719608"
"north west","Pfizer","633649"
"western cape","Johnson & Johnson","758959"
"western cape","Pfizer","2139224"
