"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","897116"
"eastern cape","Pfizer","1308840"
"free state","Johnson & Johnson","477528"
"free state","Pfizer","658078"
"gauteng","Johnson & Johnson","1495209"
"gauteng","Pfizer","3837048"
"kwazulu-natal","Johnson & Johnson","1201454"
"kwazulu-natal","Pfizer","1919820"
"limpopo","Johnson & Johnson","1057926"
"limpopo","Pfizer","1018816"
"mpumalanga","Johnson & Johnson","793489"
"mpumalanga","Pfizer","554264"
"northern cape","Johnson & Johnson","210238"
"northern cape","Pfizer","219251"
"north west","Johnson & Johnson","701134"
"north west","Pfizer","608568"
"western cape","Johnson & Johnson","735934"
"western cape","Pfizer","2094082"
