"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","159868","66032","416942"
"EASTERN CAPE","12-17","Male","132308","48372","429096"
"FREE STATE","12-17","Female","92375","45583","161705"
"FREE STATE","12-17","Male","78841","34407","162847"
"GAUTENG","12-17","Female","213725","96149","649047"
"GAUTENG","12-17","Male","175886","74538","648920"
"KWAZULU-NATAL","12-17","Female","173926","81678","647510"
"KWAZULU-NATAL","12-17","Male","122449","52057","658202"
"LIMPOPO","12-17","Female","156529","56641","352420"
"LIMPOPO","12-17","Male","134176","42064","372427"
"MPUMALANGA","12-17","Female","81242","30512","257710"
"MPUMALANGA","12-17","Male","67066","21348","259479"
"NORTHERN CAPE","12-17","Female","20260","8400","69852"
"NORTHERN CAPE","12-17","Male","16193","6219","69047"
"NORTH WEST","12-17","Female","82788","30342","221385"
"NORTH WEST","12-17","Male","69111","22472","223092"
"WESTERN CAPE","12-17","Female","71513","29433","320269"
"WESTERN CAPE","12-17","Male","61443","24726","322848"
