"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921352"
"eastern cape","Pfizer","1356210"
"free state","Johnson & Johnson","488739"
"free state","Pfizer","682380"
"gauteng","Johnson & Johnson","1560431"
"gauteng","Pfizer","3939123"
"kwazulu-natal","Johnson & Johnson","1253427"
"kwazulu-natal","Pfizer","2003855"
"limpopo","Johnson & Johnson","1085505"
"limpopo","Pfizer","1055539"
"mpumalanga","Johnson & Johnson","835644"
"mpumalanga","Pfizer","582421"
"northern cape","Johnson & Johnson","216976"
"northern cape","Pfizer","228873"
"north west","Johnson & Johnson","716414"
"north west","Pfizer","628659"
"western cape","Johnson & Johnson","755332"
"western cape","Pfizer","2131847"
