"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","161102","67229","416942"
"EASTERN CAPE","12-17","Male","133624","49545","429096"
"FREE STATE","12-17","Female","92121","45607","161705"
"FREE STATE","12-17","Male","78671","34470","162847"
"GAUTENG","12-17","Female","212839","95872","649047"
"GAUTENG","12-17","Male","175283","74415","648920"
"KWAZULU-NATAL","12-17","Female","173242","81642","647510"
"KWAZULU-NATAL","12-17","Male","122037","52129","658202"
"LIMPOPO","12-17","Female","156501","57041","352420"
"LIMPOPO","12-17","Male","134123","42426","372427"
"MPUMALANGA","12-17","Female","81394","31129","257710"
"MPUMALANGA","12-17","Male","67165","21728","259479"
"NORTHERN CAPE","12-17","Female","20351","8594","69852"
"NORTHERN CAPE","12-17","Male","16258","6359","69047"
"NORTH WEST","12-17","Female","82404","30248","221385"
"NORTH WEST","12-17","Male","68835","22461","223092"
"WESTERN CAPE","12-17","Female","71195","29422","320269"
"WESTERN CAPE","12-17","Male","61228","24746","322848"
