"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921403"
"eastern cape","Pfizer","1356693"
"free state","Johnson & Johnson","488757"
"free state","Pfizer","682571"
"gauteng","Johnson & Johnson","1560783"
"gauteng","Pfizer","3939813"
"kwazulu-natal","Johnson & Johnson","1253607"
"kwazulu-natal","Pfizer","2004360"
"limpopo","Johnson & Johnson","1085615"
"limpopo","Pfizer","1055858"
"mpumalanga","Johnson & Johnson","835798"
"mpumalanga","Pfizer","582636"
"northern cape","Johnson & Johnson","217025"
"northern cape","Pfizer","228917"
"north west","Johnson & Johnson","716480"
"north west","Pfizer","628827"
"western cape","Johnson & Johnson","755442"
"western cape","Pfizer","2132096"
