"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158482","63213","416942"
"EASTERN CAPE","12-17","Male","131020","45944","429096"
"FREE STATE","12-17","Female","92677","45390","161705"
"FREE STATE","12-17","Male","79002","34252","162847"
"GAUTENG","12-17","Female","214772","96096","649047"
"GAUTENG","12-17","Male","176693","74430","648920"
"KWAZULU-NATAL","12-17","Female","174566","80661","647510"
"KWAZULU-NATAL","12-17","Male","122826","51299","658202"
"LIMPOPO","12-17","Female","156003","55407","352420"
"LIMPOPO","12-17","Male","133722","41151","372427"
"MPUMALANGA","12-17","Female","81051","29283","257710"
"MPUMALANGA","12-17","Male","67010","20593","259479"
"NORTHERN CAPE","12-17","Female","20252","8161","69852"
"NORTHERN CAPE","12-17","Male","16171","6025","69047"
"NORTH WEST","12-17","Female","83358","30388","221385"
"NORTH WEST","12-17","Male","69492","22401","223092"
"WESTERN CAPE","12-17","Female","71238","29020","320269"
"WESTERN CAPE","12-17","Male","61142","24384","322848"
