"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918757"
"eastern cape","Pfizer","1344294"
"free state","Johnson & Johnson","487654"
"free state","Pfizer","676898"
"gauteng","Johnson & Johnson","1549895"
"gauteng","Pfizer","3919630"
"kwazulu-natal","Johnson & Johnson","1247533"
"kwazulu-natal","Pfizer","1990190"
"limpopo","Johnson & Johnson","1081117"
"limpopo","Pfizer","1046632"
"mpumalanga","Johnson & Johnson","831047"
"mpumalanga","Pfizer","576653"
"northern cape","Johnson & Johnson","216260"
"northern cape","Pfizer","227395"
"north west","Johnson & Johnson","714382"
"north west","Pfizer","624538"
"western cape","Johnson & Johnson","752026"
"western cape","Pfizer","2124338"
