"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","150960","49203","416942"
"EASTERN CAPE","12-17","Male","122950","33883","429096"
"FREE STATE","12-17","Female","91933","41644","161705"
"FREE STATE","12-17","Male","77963","30891","162847"
"GAUTENG","12-17","Female","213656","90839","649047"
"GAUTENG","12-17","Male","175213","69714","648920"
"KWAZULU-NATAL","12-17","Female","162651","64038","647510"
"KWAZULU-NATAL","12-17","Male","114051","40653","658202"
"LIMPOPO","12-17","Female","142852","46339","352420"
"LIMPOPO","12-17","Male","120273","34098","372427"
"MPUMALANGA","12-17","Female","76662","23662","257710"
"MPUMALANGA","12-17","Male","63801","16966","259479"
"NORTHERN CAPE","12-17","Female","17832","5646","69852"
"NORTHERN CAPE","12-17","Male","14317","4212","69047"
"NORTH WEST","12-17","Female","83162","28508","221385"
"NORTH WEST","12-17","Male","69055","20568","223092"
"WESTERN CAPE","12-17","Female","70682","27488","320269"
"WESTERN CAPE","12-17","Male","60229","22882","322848"
