"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923548"
"eastern cape","Pfizer","1365528"
"free state","Johnson & Johnson","489325"
"free state","Pfizer","685936"
"gauteng","Johnson & Johnson","1570017"
"gauteng","Pfizer","3952862"
"kwazulu-natal","Johnson & Johnson","1258136"
"kwazulu-natal","Pfizer","2013316"
"limpopo","Johnson & Johnson","1090411"
"limpopo","Pfizer","1063026"
"mpumalanga","Johnson & Johnson","839172"
"mpumalanga","Pfizer","587036"
"northern cape","Johnson & Johnson","218005"
"northern cape","Pfizer","230129"
"north west","Johnson & Johnson","718625"
"north west","Pfizer","632208"
"western cape","Johnson & Johnson","757944"
"western cape","Pfizer","2137440"
