"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916576"
"eastern cape","Pfizer","1337624"
"free state","Johnson & Johnson","486872"
"free state","Pfizer","673543"
"gauteng","Johnson & Johnson","1543225"
"gauteng","Pfizer","3906946"
"kwazulu-natal","Johnson & Johnson","1242451"
"kwazulu-natal","Pfizer","1980111"
"limpopo","Johnson & Johnson","1078566"
"limpopo","Pfizer","1041907"
"mpumalanga","Johnson & Johnson","827778"
"mpumalanga","Pfizer","573210"
"northern cape","Johnson & Johnson","215849"
"northern cape","Pfizer","226488"
"north west","Johnson & Johnson","713215"
"north west","Pfizer","622222"
"western cape","Johnson & Johnson","750134"
"western cape","Pfizer","2119466"
