"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14624","5618","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12527","4592","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19211","10654","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15320","7599","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8431","3064","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7430","2397","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11100","6417","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9372","4801","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13542","5343","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11174","3912","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17630","6677","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","14918","4792","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26143","15787","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23173","12678","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4208","1186","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3453","814","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51038","21682","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","41863","16693","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15157","6818","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12139","5175","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19428","10247","41623"
"GAUTENG","WEST RAND DM","12-17","Male","15941","7759","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6664","2869","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4361","1801","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","25931","12349","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22526","10500","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13208","7867","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10409","5725","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8764","4422","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5334","2466","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12519","5119","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8255","3143","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13108","5638","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8605","3162","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14059","5800","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10199","3831","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20239","10248","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12841","5399","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14729","6312","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9088","3447","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15305","6907","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10359","4069","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","23839","12693","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17180","8055","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","37562","15691","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","32128","11899","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37215","13057","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30683","9478","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26290","10011","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25797","8435","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","37949","12663","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","30745","8740","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17732","7008","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14862","5193","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47911","20106","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36813","13293","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","16922","6553","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17481","5496","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7573","3711","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6288","2806","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1694","661","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1365","500","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3566","1587","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2737","1138","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32104","13569","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26671","10055","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21243","7463","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17730","5463","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9267","4182","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8168","3478","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","805","376","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","627","280","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6248","2551","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5307","1967","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","2998","998","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2355","774","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4148","1894","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3609","1436","22568"
