"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926027"
"eastern cape","Pfizer","1372266"
"free state","Johnson & Johnson","489667"
"free state","Pfizer","688086"
"gauteng","Johnson & Johnson","1576823"
"gauteng","Pfizer","3961863"
"kwazulu-natal","Johnson & Johnson","1260819"
"kwazulu-natal","Pfizer","2018215"
"limpopo","Johnson & Johnson","1092177"
"limpopo","Pfizer","1067243"
"mpumalanga","Johnson & Johnson","840862"
"mpumalanga","Pfizer","589135"
"northern cape","Johnson & Johnson","218429"
"northern cape","Pfizer","230995"
"north west","Johnson & Johnson","720096"
"north west","Pfizer","634701"
"western cape","Johnson & Johnson","759655"
"western cape","Pfizer","2140511"
