"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154450","56033","416942"
"EASTERN CAPE","12-17","Male","126898","39551","429096"
"FREE STATE","12-17","Female","92991","44500","161705"
"FREE STATE","12-17","Male","79143","33327","162847"
"GAUTENG","12-17","Female","217158","96095","649047"
"GAUTENG","12-17","Male","178437","74142","648920"
"KWAZULU-NATAL","12-17","Female","173478","74047","647510"
"KWAZULU-NATAL","12-17","Male","121917","47383","658202"
"LIMPOPO","12-17","Female","152841","52780","352420"
"LIMPOPO","12-17","Male","131705","39255","372427"
"MPUMALANGA","12-17","Female","79546","27212","257710"
"MPUMALANGA","12-17","Male","66245","19301","259479"
"NORTHERN CAPE","12-17","Female","19291","6813","69852"
"NORTHERN CAPE","12-17","Male","15380","5025","69047"
"NORTH WEST","12-17","Female","84218","30329","221385"
"NORTH WEST","12-17","Male","70144","22215","223092"
"WESTERN CAPE","12-17","Female","70661","28589","320269"
"WESTERN CAPE","12-17","Male","60571","24005","322848"
