"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914915"
"eastern cape","Pfizer","1333646"
"free state","Johnson & Johnson","486150"
"free state","Pfizer","671404"
"gauteng","Johnson & Johnson","1538609"
"gauteng","Pfizer","3899443"
"kwazulu-natal","Johnson & Johnson","1236874"
"kwazulu-natal","Pfizer","1973191"
"limpopo","Johnson & Johnson","1076786"
"limpopo","Pfizer","1038752"
"mpumalanga","Johnson & Johnson","822833"
"mpumalanga","Pfizer","569772"
"northern cape","Johnson & Johnson","214901"
"northern cape","Pfizer","225327"
"north west","Johnson & Johnson","712154"
"north west","Pfizer","620631"
"western cape","Johnson & Johnson","748766"
"western cape","Pfizer","2116193"
