"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","909588"
"eastern cape","Pfizer","1323354"
"free state","Johnson & Johnson","483491"
"free state","Pfizer","666401"
"gauteng","Johnson & Johnson","1524499"
"gauteng","Pfizer","3877583"
"kwazulu-natal","Johnson & Johnson","1225282"
"kwazulu-natal","Pfizer","1954630"
"limpopo","Johnson & Johnson","1072527"
"limpopo","Pfizer","1031411"
"mpumalanga","Johnson & Johnson","812020"
"mpumalanga","Pfizer","563577"
"northern cape","Johnson & Johnson","213016"
"northern cape","Pfizer","222568"
"north west","Johnson & Johnson","709061"
"north west","Pfizer","616118"
"western cape","Johnson & Johnson","744728"
"western cape","Pfizer","2108684"
