"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154893","54785","416942"
"EASTERN CAPE","12-17","Male","126731","38584","429096"
"FREE STATE","12-17","Female","93364","43513","161705"
"FREE STATE","12-17","Male","79368","32559","162847"
"GAUTENG","12-17","Female","217207","94024","649047"
"GAUTENG","12-17","Male","178252","72388","648920"
"KWAZULU-NATAL","12-17","Female","171682","71138","647510"
"KWAZULU-NATAL","12-17","Male","120641","45562","658202"
"LIMPOPO","12-17","Female","151481","50567","352420"
"LIMPOPO","12-17","Male","130347","37763","372427"
"MPUMALANGA","12-17","Female","79140","26233","257710"
"MPUMALANGA","12-17","Male","66009","18728","259479"
"NORTHERN CAPE","12-17","Female","19032","6396","69852"
"NORTHERN CAPE","12-17","Male","15211","4757","69047"
"NORTH WEST","12-17","Female","84502","29890","221385"
"NORTH WEST","12-17","Male","70268","21720","223092"
"WESTERN CAPE","12-17","Female","70927","28009","320269"
"WESTERN CAPE","12-17","Male","60628","23462","322848"
