"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","848727","0","129052","977779"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","459099","0","80266","539365"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1387142","0","185309","1572451"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1130797","0","157758","1288555"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1038345","0","130801","1169146"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","790117","0","103267","893384"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","203552","0","27204","230756"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","685595","0","101901","787496"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","650121","0","101836","751957"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60861","0","24220","85081"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24392","0","12199","36591"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137357","0","65380","202737"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94485","0","40021","134506"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34182","0","17016","51198"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21903","0","7150","29053"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23466","0","8964","32430"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94607","0","61528","156135"
"Pfizer","National","eastern cape","Adults","1323354","1110570","208519","2642443"
"Pfizer","National","eastern cape","12-17 Years","281624","93369","0","374993"
"Pfizer","National","free state","12-17 Years","172732","76072","0","248804"
"Pfizer","National","free state","Adults","666401","583983","124309","1374693"
"Pfizer","National","gauteng","12-17 Years","395459","166412","8","561879"
"Pfizer","National","gauteng","Adults","3877583","3354095","631524","7863202"
"Pfizer","National","kwazulu-natal","Adults","1954630","1621618","303152","3879400"
"Pfizer","National","kwazulu-natal","12-17 Years","292323","116700","7","409030"
"Pfizer","National","limpopo","Adults","1031411","867584","159425","2058420"
"Pfizer","National","limpopo","12-17 Years","281828","88330","0","370158"
"Pfizer","National","mpumalanga","12-17 Years","145149","44961","0","190110"
"Pfizer","National","mpumalanga","Adults","563577","463051","91586","1118214"
"Pfizer","National","northern cape","12-17 Years","34243","11153","0","45396"
"Pfizer","National","northern cape","Adults","222568","190268","31187","444023"
"Pfizer","National","north west","12-17 Years","154770","51610","2","206382"
"Pfizer","National","north west","Adults","616118","533284","103456","1252858"
"Pfizer","National","western cape","12-17 Years","131555","51471","2","183028"
"Pfizer","National","western cape","Adults","2108684","1849847","460553","4419084"
