"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","916090"
"eastern cape","Pfizer","1336533"
"free state","Johnson & Johnson","486575"
"free state","Pfizer","672839"
"gauteng","Johnson & Johnson","1541547"
"gauteng","Pfizer","3904451"
"kwazulu-natal","Johnson & Johnson","1240416"
"kwazulu-natal","Pfizer","1977889"
"limpopo","Johnson & Johnson","1077842"
"limpopo","Pfizer","1040837"
"mpumalanga","Johnson & Johnson","825813"
"mpumalanga","Pfizer","571964"
"northern cape","Johnson & Johnson","215498"
"northern cape","Pfizer","226180"
"north west","Johnson & Johnson","712853"
"north west","Pfizer","621715"
"western cape","Johnson & Johnson","749666"
"western cape","Pfizer","2118461"
