"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154665","57061","416942"
"EASTERN CAPE","12-17","Male","127132","40525","429096"
"FREE STATE","12-17","Female","92786","44723","161705"
"FREE STATE","12-17","Male","79031","33610","162847"
"GAUTENG","12-17","Female","216537","96060","649047"
"GAUTENG","12-17","Male","177979","74234","648920"
"KWAZULU-NATAL","12-17","Female","173484","75049","647510"
"KWAZULU-NATAL","12-17","Male","121968","47938","658202"
"LIMPOPO","12-17","Female","152916","53115","352420"
"LIMPOPO","12-17","Male","131700","39448","372427"
"MPUMALANGA","12-17","Female","79650","27489","257710"
"MPUMALANGA","12-17","Male","66285","19498","259479"
"NORTHERN CAPE","12-17","Female","19660","7219","69852"
"NORTHERN CAPE","12-17","Male","15687","5347","69047"
"NORTH WEST","12-17","Female","84021","30403","221385"
"NORTH WEST","12-17","Male","70024","22310","223092"
"WESTERN CAPE","12-17","Female","70494","28676","320269"
"WESTERN CAPE","12-17","Male","60444","24072","322848"
