"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914783"
"eastern cape","Pfizer","1333272"
"free state","Johnson & Johnson","486068"
"free state","Pfizer","671236"
"gauteng","Johnson & Johnson","1538197"
"gauteng","Pfizer","3898812"
"kwazulu-natal","Johnson & Johnson","1236444"
"kwazulu-natal","Pfizer","1972638"
"limpopo","Johnson & Johnson","1076734"
"limpopo","Pfizer","1038577"
"mpumalanga","Johnson & Johnson","822399"
"mpumalanga","Pfizer","569487"
"northern cape","Johnson & Johnson","214802"
"northern cape","Pfizer","225196"
"north west","Johnson & Johnson","712101"
"north west","Pfizer","620525"
"western cape","Johnson & Johnson","748618"
"western cape","Pfizer","2115909"
