"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154467","56015","416942"
"EASTERN CAPE","12-17","Male","126926","39539","429096"
"FREE STATE","12-17","Female","92998","44485","161705"
"FREE STATE","12-17","Male","79149","33300","162847"
"GAUTENG","12-17","Female","217202","96036","649047"
"GAUTENG","12-17","Male","178466","74080","648920"
"KWAZULU-NATAL","12-17","Female","173453","73959","647510"
"KWAZULU-NATAL","12-17","Male","121903","47336","658202"
"LIMPOPO","12-17","Female","152864","52748","352420"
"LIMPOPO","12-17","Male","131722","39235","372427"
"MPUMALANGA","12-17","Female","79526","27180","257710"
"MPUMALANGA","12-17","Male","66229","19280","259479"
"NORTHERN CAPE","12-17","Female","19273","6792","69852"
"NORTHERN CAPE","12-17","Male","15360","5006","69047"
"NORTH WEST","12-17","Female","84244","30331","221385"
"NORTH WEST","12-17","Male","70161","22209","223092"
"WESTERN CAPE","12-17","Female","70658","28577","320269"
"WESTERN CAPE","12-17","Male","60559","23982","322848"
