"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","853919","0","138753","992672"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","461674","0","86424","548098"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1400786","0","194205","1594991"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1141953","0","168064","1310017"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1042551","0","138395","1180946"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","800487","0","114542","915029"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","205338","0","31432","236770"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","688631","0","106783","795414"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","654007","0","106031","760038"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60864","0","24220","85084"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24394","0","12199","36593"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137411","0","65383","202794"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94491","0","40022","134513"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34183","0","17016","51199"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21912","0","7151","29063"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23470","0","8964","32434"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94611","0","61527","156138"
"Pfizer","National","eastern cape","Adults","1333272","1120817","225902","2679991"
"Pfizer","National","eastern cape","12-17 Years","281393","95554","0","376947"
"Pfizer","National","free state","12-17 Years","172147","77785","0","249932"
"Pfizer","National","free state","Adults","671236","589441","132017","1392694"
"Pfizer","National","gauteng","12-17 Years","395668","170116","11","565795"
"Pfizer","National","gauteng","Adults","3898812","3377096","653688","7929596"
"Pfizer","National","kwazulu-natal","Adults","1972638","1639785","318586","3931009"
"Pfizer","National","kwazulu-natal","12-17 Years","295356","121295","8","416659"
"Pfizer","National","limpopo","Adults","1038577","874087","167524","2080188"
"Pfizer","National","limpopo","12-17 Years","284586","91983","0","376569"
"Pfizer","National","mpumalanga","12-17 Years","145755","46460","0","192215"
"Pfizer","National","mpumalanga","Adults","569487","469719","100478","1139684"
"Pfizer","National","northern cape","12-17 Years","34633","11798","0","46431"
"Pfizer","National","northern cape","Adults","225196","192756","34501","452453"
"Pfizer","National","north west","12-17 Years","154405","52540","4","206949"
"Pfizer","National","north west","Adults","620525","537708","108075","1266308"
"Pfizer","National","western cape","12-17 Years","131217","52559","2","183778"
"Pfizer","National","western cape","Adults","2115909","1858391","474828","4449128"
